Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step
graph_only,7.7683567053313745,0.4865952127348077,17.59600053459065,240.8190578652726,0.9088265219343391,1.0,True,0
full_gcsr_relaxed,7.991231315264064,0.32180285838966927,17.290055020324903,247.72817077318598,0.9349008082030923,1.0,True,0
bates_granger_mv,8.063764555638938,0.49000000011199996,17.373375187047273,249.97670122480707,0.943386532414145,1.0,True,0
mult_tilt,8.094229006432943,0.35377622526331926,17.728644634734586,250.92109919942123,0.9469505938891741,1.0,True,0
full_gcsr,8.116218051269776,0.3074407163483189,17.7316824186194,251.60275958936305,0.9495231105613298,1.0,True,0
rs_selection,8.13301574760841,0.48999999999999994,18.63780237595213,252.12348817586067,0.9514882870483302,1.0,True,0
cov_only,8.252840429087415,0.34370730354308976,18.032100187708625,255.8380533017099,0.9655066763475391,1.0,True,0
recent_best,8.366716519262896,0.6400000000000001,17.63699454208782,259.36821209714975,0.9788291349950207,1.0,True,0
bates_granger,8.507018615909011,0.4382620742208525,18.201360169348387,263.71757709317933,0.9952431941521491,1.0,True,0
equal,8.54767826175053,0.45562499999999917,18.20813592770088,264.9780261142664,0.9999999999883009,1.0,True,0
median,8.702983800484798,0.26215805719964547,18.38235650200911,269.79249781502875,1.018169324333067,1.0,True,0
